question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,track,week_number,chapter_tag
"During which phase of cell replication do the mitotic spindles begin to align so as to form a central spindle before mitosis occurs?","Prophase","Metaphase","Interphase","Anaphase",b,"ES: ¿Durante qué fase de la replicación celular los husos mitóticos comienzan a alinearse para formar un huso central antes de que ocurra la mitosis? A. Profase B. Metafase C. Interfase D. Anafase. Respuesta correcta: B - Metafase.",medium,nbdhe,1,Histology
"Which of the following blood cells becomes a macrophage when it exits the capillaries?","Neutrophil","Mast cell","Monocyte","Plasma cell",c,"ES: ¿Cuál de las siguientes células sanguíneas se convierte en macrófago al salir de los capilares? A. Neutrófilo B. Mastocito C. Monocito D. Célula plasmática. Respuesta correcta: C - Monocito.",medium,nbdhe,1,Histology
"When the root is completely formed, Hertwig's sheath disintegrates into what types of cells?","Nasmith's membrane","Tome's layer","Rests of Mallassez","Lines of Retzius",c,"ES: Cuando la raíz está completamente formada, ¿la vaina de Hertwig se desintegra en qué tipo de células? A. Membrana de Nasmith B. Capa de Tomes C. Restos epiteliales de Malassez D. Líneas de Retzius. Respuesta correcta: C - Restos epiteliales de Malassez.",medium,nbdhe,1,Histology
"Ameloblasts are derived from which of the following layers?","Outer enamel epithelium","Inner enamel epithelium","Stratum intermedium","Stellate reticulum",b,"ES: ¿Los ameloblastos derivan de cuál de las siguientes capas? A. Epitelio externo del esmalte B. Epitelio interno del esmalte C. Estrato intermedio D. Retículo estrellado. Respuesta correcta: B - Epitelio interno del esmalte.",medium,nbdhe,1,Histology
"Which of the following cells is associated with humoral immunity?","Lymphocytes","B cells","T cells","Monocytes",b,"ES: ¿Cuál de las siguientes células está asociada con la inmunidad humoral? A. Linfocitos B. Linfocitos B (células B) C. Linfocitos T (células T) D. Monocitos. Respuesta correcta: B - Linfocitos B (células B).",medium,nbdhe,1,Histology
"Oral ectoderm gives rise to which of the following tissues?","Enamel","Bone","Salivary glands","Smooth muscle",a,"ES: ¿El ectodermo oral da origen a cuál de los siguientes tejidos? A. Esmalte B. Hueso C. Glándulas salivales D. Músculo liso. Respuesta correcta: A - Esmalte.",medium,nbdhe,1,Histology
"Which of the following terms is associated with the concentric imbrication lines on the enamel surface?","Lines of von Ebner","Lines of Retzius","Perikymata","Enamel lamellae",b,"ES: ¿Cuál de los siguientes términos está asociado con las líneas de imbricación concéntricas en la superficie del esmalte? A. Líneas de von Ebner B. Líneas de Retzius C. Periquimatías D. Laminillas del esmalte. Respuesta correcta: B - Líneas de Retzius.",medium,nbdhe,1,Histology
"Which of the following is the main type of tissue in the body?","Epithelial","Muscle","Bone","Connective",d,"ES: ¿Cuál de los siguientes es el tipo de tejido principal del cuerpo? A. Epitelial B. Muscular C. Óseo D. Conectivo. Respuesta correcta: D - Conectivo.",medium,nbdhe,1,Histology
"Of the following blood cells, which has a nucleus that is segmented into multilobules and does not have a nucleolus?","Erythrocytes","Eosinophils","Basophils","Neutrophils",d,"ES: De las siguientes células sanguíneas, ¿cuál tiene un núcleo segmentado en múltiples lóbulos y no tiene nucléolo? A. Eritrocitos B. Eosinófilos C. Basófilos D. Neutrófilos. Respuesta correcta: D - Neutrófilos.",medium,nbdhe,1,Histology
"Which of the following endocrine glands is the first to start developing in utero?","Thalamus","Adrenal","Thyroid","Pituitary",c,"ES: ¿Cuál de las siguientes glándulas endocrinas es la primera en comenzar a desarrollarse en el útero? A. Tálamo B. Suprarrenal C. Tiroides D. Hipófisis. Respuesta correcta: C - Tiroides.",medium,nbdhe,1,Histology
"If the medial nasal process and maxillary process fail to fuse, the result is","Cleft lip","Cleft palate","Bifid tongue","Cleft uvula",a,"ES: Si el proceso nasal medial y el proceso maxilar no logran fusionarse, el resultado es A. Labio leporino B. Paladar hendido C. Lengua bífida D. Úvula hendida. Respuesta correcta: A - Labio leporino.",medium,nbdhe,1,Histology
"The greater cornu of the hyoid bone develops from which branchial arch?","First","Second","Third","Fourth",c,"ES: El asta mayor del hueso hioides se desarrolla a partir de cuál arco branquial? A. Primero B. Segundo C. Tercero D. Cuarto. Respuesta correcta: C - Tercero.",medium,nbdhe,1,Histology
